Peso	Colaborador	Metodo	Colme
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1.2	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	21/01/2021_Y-A	Cuchara	21/01/2021_Y-A_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1.2	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	01/02/2021_E-C	Cuchara	01/02/2021_E-C_Cuchara
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
1	04/02/2021_AYO	Balanza	04/02/2021_AYO_Balanza
