Peso	Colaborador	Metodo
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1.2	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	21/01/2021_Y-A	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1.2	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	01/02/2021_E-C	Cuchara
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	04/02/2021_AYO	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	05/02/2021_C-O	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1.2	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
1	08/02/2021_LPG	Balanza
